Id,SalePrice
X5gsdTWGS3W7JJQB,13789899.779792314
BTshNOJyKHnT2YIT,2462341.1242007124
dhdymr0lV8N5kZOT,11397436.890030676
VEwyGGMcD56w5BOc,10139371.597595524
wmUeMoJZfsqaSX9b,1602878.7128189984
EtBjGAHmHCe9t7TZ,4946578.765272222
hPNH34vmaZtvBtqc,14724039.335576128
wXjeI38bYDMJJwZC,10818333.08688867
fxZSGX6aPAFKU8W4,1203935.8280268332
ewr0Fx6ign87OwaV,3274527.576159055
gHKurnEP4AowzsLg,1488054.895247343
PmLfTgY2FElLrTl0,5867521.316925232
eM2NppIOwzW0o8iy,10728364.283657055
dxxwNun97NH4WTrZ,2737853.8968654345
jykBfhh3vdeFUi3H,5613475.363885636
NlXbvdFfmJZf3L18,24926349.191188816
D7jaFWHCzSqLBwdt,1357934.8694897087
L10dBBdqGmemweSl,5869831.868307265
OgB0AdiPKlElakKN,1974500.6365336902
StiWNN1GQrpPBOYt,3883529.451902377
a016eMAVQKnfwMnt,16084713.512990208
gsCFcQHnOH3AKMcZ,4372280.059040747
IbNsDXfsPwSuFpow,6136366.72105836
EgAVWOVxD1Jy5YkE,1797177.0643921143
BrKghvR76XdbQPnx,7643856.839119304
a7fxkXTnUGWHUmKG,7800892.472243409
WgzXa170DfpzpURE,3951351.5524898097
JPWqZbLq0VNC0yKI,12953190.012230363
JQgTtbVstqFZwEK1,1579599.2867032601
bCSDbEthlS3nSIor,1621677.8683001986
Eg8c7ZRbL0gyAEAb,2142970.8535206676
zsFOujpX1WUIkeMD,3563547.8733255723
jEvQfHD89c14eFJj,5625013.059288672
bU45TrRjtoRJpiOl,7473880.599135274
YLKpsew5dW75vksT,4268773.460971575
hZ1FFAGWfwM7Q5qr,2533436.974450228
uAE5aaysJhyG8lRW,7843699.769430097
qxNpqoav46ab8aX0,12007615.501236456
tw5gw9arRECzmh5o,3264275.5580967194
yn4pyBYVb1GcpQ1T,3632792.846796246
bE4xwsO642wMGDiH,624970805.9123063
aahqDoaTCZYPUnYs,2993748.240912323
YV43AlJLyiYsBy7N,16460364.334927227
XUoZvwp3G5Uqr6es,4447349.0063690655
xtfOOyS24DmebcrG,19567332.10873609
kHySzvJu1pAOGGr8,4341946.475972936
SJLj6Ars5P1fN8uS,43953664.40584319
R9A8BJ65VWVztrwJ,7758729.773920038
CVz3pN9nF05lPP5u,3007761.195022648
vvgK6NlGq4dXvuOQ,5211807.40405712
C1h2FivTfEeJpv15,35314451.386708654
N2z4leXPR8YG1qOe,3393265.6602564887
sag3ekvoyZCZgkfV,5149197.350240332
Uk5ex47eeWALNICk,3608804.9657217544
vAl9UtIB6CJkKDqG,14176978.126181861
hnYkYGw5QAKE4mKe,385680.8310445427
dGDaCQGvz1JFUpFs,4090246.501366045
O5Hw3gWy8trecv9H,16495007.548206016
tMEj7u0YNW1xuLxf,629061.6825159466
rcPOpyDivowJQm5A,4052798.1724672723
FB5zv79bd6nHV1It,1112107.593318736
SjqLJfNVstz2Vt0Z,8165671.281577435
uv27X0eFKdbSphM7,4435719.238535916
yVbxVL3euuIqmo7V,9513593.554651985
VvwRRzQcDprObjXd,13718899.64424403
j1eSrtTGv0lNjzBU,30664428.90502439
UboKsiWuyCQXXIsA,2838426.885678454
R3LK3b1cYHJDoS7T,1544444.8528705656
ii5gSN8z6AOorjQs,8486465.789091218
iFtImxGUUlXbkD9b,8425535.724972198
W4cY4JyAXjYXY1tF,37680983.5351087
HM9qAA76VLEkoqyU,18638644.857799727
fX3cUCjz6wSjn6N5,1733849.204032347
